cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat,class,synthetic_feat_1,synthetic_feat_2,synthetic_feat_3,synthetic_feat_4,synthetic_feat_5
x,s,n,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,s,u,class_3,medium,low,low,medium,high
x,s,y,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,n,g,class_2,high,low,high,low,medium
b,s,w,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,n,m,class_1,medium,medium,low,high,medium
x,y,w,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,k,s,u,class_3,medium,low,high,high,low
x,s,g,f,n,f,w,b,k,t,e,s,s,w,w,p,w,o,e,n,a,g,class_1,high,low,medium,high,low
x,y,y,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,n,g,class_2,medium,medium,medium,low,high
b,s,w,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,n,m,class_1,high,high,low,high,low
b,y,w,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,s,m,class_1,medium,low,low,medium,high
x,y,w,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,k,v,g,class_3,high,low,low,high,medium
b,s,y,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,s,m,class_2,high,low,low,low,medium
x,y,y,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,n,g,class_1,low,low,low,medium,high
x,y,y,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,s,m,class_1,high,high,high,medium,low
b,s,y,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,s,g,class_1,high,medium,medium,medium,low
x,y,w,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,v,u,class_3,medium,low,high,high,low
x,f,n,f,n,f,w,b,n,t,e,s,f,w,w,p,w,o,e,k,a,g,class_2,high,medium,medium,low,high
s,f,g,f,n,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,y,u,class_1,low,low,high,low,low
f,f,w,f,n,f,w,b,k,t,e,s,s,w,w,p,w,o,e,n,a,g,class_2,medium,high,high,high,medium
x,s,n,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,k,s,g,class_4,medium,medium,high,low,medium
x,y,w,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,s,u,class_4,low,high,low,medium,medium
x,s,n,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,s,u,class_3,medium,low,medium,medium,medium
b,s,y,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,s,m,class_2,medium,high,low,low,medium
x,y,n,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,v,g,class_3,medium,high,low,low,medium
b,y,y,t,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,s,m,class_2,medium,low,high,high,medium
b,y,w,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,n,m,class_2,low,low,medium,high,medium
b,s,w,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,s,m,class_2,low,medium,medium,high,medium
f,s,w,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,v,g,class_4,medium,low,medium,high,high
x,y,y,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,n,m,class_2,medium,medium,medium,high,high
x,y,w,t,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,n,m,class_2,low,high,low,high,medium
f,f,n,f,n,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,y,u,class_2,low,high,low,medium,medium
x,s,y,t,a,f,w,n,n,t,b,s,s,w,w,p,w,o,p,n,v,d,class_2,low,medium,medium,low,medium
b,s,y,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,n,m,class_1,medium,low,low,high,low
x,y,w,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,s,u,class_3,medium,low,medium,medium,high
x,y,y,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,n,m,class_2,high,high,low,low,medium
x,y,n,t,l,f,c,b,p,e,r,s,y,w,w,p,w,o,p,n,y,p,class_2,low,medium,high,low,high
b,y,y,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,s,m,class_2,medium,high,high,low,medium
x,f,y,t,l,f,w,n,w,t,b,s,s,w,w,p,w,o,p,n,v,d,class_1,low,high,medium,high,low
s,f,g,f,n,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,v,u,class_2,medium,low,medium,high,medium
x,y,n,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,n,s,u,class_3,low,medium,low,high,high
x,f,y,t,a,f,w,n,p,t,b,s,s,w,w,p,w,o,p,n,v,d,class_1,medium,high,medium,low,high
b,s,y,t,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,s,m,class_1,high,low,medium,low,high
b,y,y,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,s,g,class_1,high,high,low,medium,high
x,y,y,t,l,f,c,b,n,e,r,s,y,w,w,p,w,o,p,k,y,p,class_1,low,high,medium,medium,medium
x,f,n,f,n,f,c,n,g,e,e,s,s,w,w,p,w,o,p,k,y,u,class_2,medium,low,medium,medium,low
x,y,w,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,n,v,g,class_4,medium,low,high,medium,low
x,s,y,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,n,m,class_2,low,medium,high,low,medium
x,y,w,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,n,g,class_2,medium,high,high,high,medium
x,y,y,t,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,s,m,class_2,low,medium,medium,high,high
